예측날짜_일별,예측환율_일별,예측환율_일별_최소,예측환율_일별_최대
2024-07-20,,,
2024-07-21,,,
2024-07-22,1385.17,1378.77,1391.57
2024-07-23,1386.75,1380.35,1393.15
2024-07-24,1386.92,1380.52,1393.32
2024-07-25,1387.39,1380.99,1393.79
2024-07-26,1387.18,1380.78,1393.58
2024-07-27,,,
2024-07-28,,,
2024-07-29,1386.76,1380.36,1393.16
2024-07-30,1385.74,1379.34,1392.14
2024-07-31,1385.98,1379.58,1392.38
2024-08-01,1386.36,1379.96,1392.76
2024-08-02,1387.31,1380.91,1393.71
2024-08-03,,,
2024-08-04,,,
2024-08-05,1387.88,1381.48,1394.28
2024-08-06,1387.34,1380.94,1393.74
2024-08-07,1388.09,1381.69,1394.49
2024-08-08,1389.13,1382.73,1395.53
2024-08-09,1389.96,1383.56,1396.36
2024-08-10,,,
2024-08-11,,,
2024-08-12,1390.71,1384.31,1397.11
2024-08-13,1391.49,1385.09,1397.89
2024-08-14,1392.13,1385.73,1398.53
2024-08-15,1392.82,1386.42,1399.22
2024-08-16,1393.74,1387.34,1400.14
2024-08-17,,,
2024-08-18,,,
2024-08-19,1394.41,1388.01,1400.81
2024-08-20,1393.65,1387.25,1400.05
2024-08-21,1393.83,1387.43,1400.23
2024-08-22,1393.84,1387.44,1400.24
2024-08-23,1394.11,1387.71,1400.51
2024-08-24,,,
2024-08-25,,,
2024-08-26,1393.87,1387.47,1400.27
2024-08-27,1393.2,1386.8,1399.6
2024-08-28,1393.89,1387.49,1400.29
2024-08-29,1393.91,1387.51,1400.31
2024-08-30,1394.34,1387.94,1400.74
